run,metric,n,mean,std,p50,p95,p99
latency,window_age_ms,5948,356.2435262104909,223.22523249543227,458.70889999999997,576.9530399999999,670.6818229999997
latency,ingestion_latency_ms,1107,0.13636070460704608,0.2836989579075703,0.0968,0.2749200000000001,0.7566920000000028
latency,decode_time_us,5948,10.33556321452589,26.477826790269496,3.46,36.12,80.72999999999949
latency2,window_age_ms,5989,37.835928335281345,51.60616104756133,29.6304,138.93625999999995,239.3045479999999
latency2,ingestion_latency_ms,1098,0.09675182149362477,0.16716733308508727,0.06645000000000001,0.20234999999999986,0.40581399999999934
latency2,decode_time_us,5989,10.153518116547003,126.36122552022435,3.37,28.46,50.33
latency3,window_age_ms,5941,284.0341569769399,147.36832184119518,272.3603,495.815,563.1510600000001
latency3,ingestion_latency_ms,1079,0.09586506024096386,0.2282106549915839,0.0644,0.1817199999999999,0.3871960000000002
latency3,decode_time_us,5941,8.594835886214442,50.47913147616161,3.33,27.54,48.37600000000015
latency4,window_age_ms,3004,21.956581657789613,12.951283894961248,21.66355,42.27002,48.322378
latency4,ingestion_latency_ms,560,0.12317178571428572,0.04466160651847652,0.12569999999999998,0.17355499999999993,0.20954199999999978
latency4,decode_time_us,3004,15.486874167776296,15.582297506744425,11.62,36.114,45.073999999999955
